Date,Open_USD,High_USD,Low_USD,Close_USD,Volume_USD,Dividends_USD,Stock Splits_USD
2016-04-25,95.36519614048208,95.84150819851382,94.68934545111676,95.78357696533203,2979949,0.0,0.0
2016-04-26,95.68061631992997,96.41439846760342,95.19787301750263,95.95738983154297,3116871,0.0,0.0
2016-04-27,96.13116676168458,97.05160469767287,95.8865693308241,96.85206604003906,3254315,0.0,0.0
2016-04-28,96.38858690246225,96.66537052557779,94.44473208603502,94.66357421875,3965909,0.0,0.0
2016-04-29,94.29028254881045,94.837398329633,92.8098564469693,93.93626403808594,4420187,0.0,0.0
2016-05-02,94.33533284412992,94.61854765811171,92.96433809095603,93.50501251220703,3663510,0.0,0.0
2016-05-03,93.10592197934837,93.26684320015163,91.97951452698922,92.7712173461914,3749178,0.0,0.0
2016-05-04,92.27559672456265,93.33120042583164,92.24341042749714,92.84845733642578,2695647,0.0,0.0
2016-05-05,93.94273053880887,94.81166848670162,93.620898244779,94.27743530273438,6800255,0.0,0.0
2016-05-06,94.14094176482193,96.16204686990797,93.88749068507065,95.72013854980469,5121007,1.338432,0.0
2016-05-09,95.9865600423145,96.31149803296215,95.53814831205979,95.75260925292969,4500310,0.0,0.0
2016-05-10,96.33750313478403,97.50727796895997,96.01256510459852,97.46178436279297,4176364,0.0,0.0
2016-05-11,97.29281744155485,98.18965138769906,96.66244160168151,96.79891204833984,3235278,0.0,0.0
2016-05-12,96.96787132300697,97.08485190893494,95.60313585286158,96.7274169921875,3398663,0.0,0.0
